original_id	id_for_infomap
237962820	1
108136710	2
243494256	3
28018958	4
156985004	5
228397622	6
18234520	7
44458662	8
135579990	9
11633492	10
18557448	11
28402860	12
15706037	13
15024783	14
780006	15
181421726	16
14465902	17
199848513	18
39362638	19
69377877	20
23064510	21
2663161	22
213487656	23
18485106	24
156959765	25
98025022	26
90203791	27
253784340	28
51253969	29
14707115	30
9468812	31
106888707	32
15935243	33
4959461	34
153997237	35
237996239	36
14155372	37
36407795	38
116690967	39
115575220	40
165826885	41
197882703	42
26847783	43
228331929	44
809092	45
15599014	46
173941018	47
17514057	48
1712831	49
21057434	50
59095319	51
229543786	52
202192724	53
233796756	54
35234203	55
196071730	56
94561549	57
23628049	58
123334275	59
68481903	60
155899912	61
183088045	62
21587937	63
21182196	64
131881168	65
15343458	66
13050	67
12597012	68
29707246	69
60335753	70
16337697	71
95654308	72
123116942	73
37222006	74
12392822	75
41905057	76
14749220	77
21278570	78
18927821	79
18795950	80
114916798	81
83897393	82
15671214	83
14382508	84
51162926	85
123379214	86
114685387	87
43740591	88
258934913	89
161480745	90
91106767	91
17204519	92
14263141	93
158104132	94
62964460	95
144325640	96
191241796	97
22935909	98
196743148	99
15173486	100
7159752	101
59697909	102
195900371	103
15853065	104
63283271	105
15381346	106
102747321	107
111989628	108
23244977	109
104337086	110
102308453	111
192823256	112
89273858	113
30667186	114
18089695	115
31619861	116
159144566	117
120962212	118
12517792	119
14140147	120
14934718	121
35769941	122
21367818	123
15947897	124
158875382	125
69577964	126
6144162	127
257116158	128
157645081	129
112938012	130
150400817	131
22982474	132
70751508	133
94378996	134
14891245	135
5259391	136
145408456	137
12575842	138
130575807	139
238602830	140
15400246	141
15865260	142
112516636	143
28117912	144
82911157	145
246290364	146
11752	147
14604049	148
45085003	149
217541234	150
14738804	151
48096690	152
16951443	153
216258042	154
30464510	155
182040558	156
64166227	157
25491038	158
244934195	159
129915741	160
16533239	161
20660609	162
14935192	163
245543122	164
14287191	165
23388683	166
6325632	167
44672556	168
7144882	169
29695131	170
38729990	171
21179070	172
10396	173
15700362	174
133431287	175
17310398	176
20918359	177
18594996	178
170192703	179
12220	180
15896379	181
28486708	182
11991832	183
128100093	184
44845302	185
63834256	186
21429357	187
10400902	188
13601052	189
28674078	190
77939719	191
14253707	192
14342975	193
20288395	194
44297180	195
16561212	196
179154258	197
19291590	198
63285684	199
60211331	200
217574343	201
193364199	202
44202114	203
14803154	204
18203404	205
154972484	206
43155565	207
16167886	208
11332	209
271781804	210
16886645	211
21544692	212
771698	213
258721812	214
29747993	215
1639601	216
140983662	217
815476	218
28301633	219
1283361	220
9410912	221
91694445	222
64844059	223
24351659	224
626233	225
68879809	226
71632263	227
8867682	228
30864653	229
27760633	230
94919897	231
160718204	232
20564713	233
17284883	234
175938534	235
15614959	236
199609635	237
104733034	238
84623487	239
7205122	240
54662153	241
16201819	242
9485202	243
28167824	244
7491582	245
162052960	246
16275858	247
231535622	248
73112424	249
17066077	250
75511224	251
36813285	252
17878154	253
171594145	254
195664345	255
18065823	256
14742479	257
16510194	258
15313725	259
18704291	260
255167616	261
68442782	262
14345113	263
105235681	264
3954581	265
227686496	266
171669403	267
92711494	268
16222945	269
8307012	270
21889071	271
107462003	272
18041438	273
151084354	274
20813611	275
221489828	276
63337613	277
38925280	278
39428095	279
150872447	280
52090770	281
28733900	282
37190491	283
14063033	284
14293571	285
236022159	286
16353944	287
23343266	288
71410962	289
117477071	290
145347010	291
21359690	292
101686868	293
48816106	294
818176	295
50749152	296
54200212	297
46476526	298
89026913	299
25567123	300
14389062	301
46972036	302
8287952	303
10785032	304
16539573	305
50408030	306
89202951	307
62625917	308
178808746	309
54296186	310
250968367	311
223443158	312
15972562	313
18442894	314
15878020	315
102363028	316
108140942	317
14685174	318
22076359	319
1069351	320
42659612	321
241321163	322
152189675	323
48284445	324
25100373	325
20628420	326
189758673	327
76000222	328
16357285	329
47914845	330
135248445	331
267926000	332
9938952	333
15725650	334
70745737	335
15206692	336
30178173	337
40953367	338
230974069	339
94856925	340
8393112	341
17214701	342
92318904	343
9074582	344
36697219	345
234281590	346
201763743	347
31220561	348
24733117	349
59518891	350
224830108	351
28873178	352
184700776	353
147595464	354
15250836	355
94717868	356
194604669	357
22192559	358
164033581	359
27845072	360
14774443	361
20172321	362
17315836	363
109370698	364
87478288	365
12587982	366
1040391	367
10224122	368
142127373	369
14908932	370
190546924	371
209471041	372
16733141	373
14349449	374
2185	375
11821622	376
7508092	377
20271080	378
29943167	379
16641454	380
11965332	381
117836707	382
257664564	383
105305259	384
19192221	385
17325009	386
20873104	387
40264785	388
25948167	389
119297816	390
151158927	391
18040428	392
3432881	393
103725748	394
10252992	395
18949053	396
17505487	397
54370980	398
812825	399
17042374	400
15080701	401
38615541	402
16874616	403
37241140	404
69072789	405
19683498	406
18478410	407
20319730	408
14568079	409
6535242	410
106185357	411
6014732	412
14472183	413
17155901	414
62783	415
27077432	416
180390958	417
20897273	418
184292192	419
16419927	420
12383122	421
120900736	422
88140118	423
14227897	424
15469101	425
11784882	426
215797959	427
249542643	428
9813282	429
60936367	430
61751708	431
163845303	432
57131205	433
33085590	434
84972513	435
113619900	436
17801384	437
28784606	438
84737899	439
46958309	440
19089993	441
19935490	442
261630686	443
118132028	444
163954957	445
259123873	446
16356833	447
16494284	448
150618868	449
242589987	450
16888904	451
18122984	452
131847507	453
3533231	454
17300593	455
91683053	456
14786238	457
20596316	458
21700719	459
197216839	460
19246850	461
14846859	462
8132322	463
191840628	464
49992096	465
116886298	466
29459695	467
183461152	468
50025858	469
20391685	470
16630502	471
84217059	472
21404596	473
77281326	474
36719360	475
14493526	476
20057454	477
22110931	478
119777563	479
14833389	480
15615591	481
137531481	482
79799271	483
55913654	484
200685361	485
170351580	486
28765331	487
4954131	488
147977705	489
16381764	490
183182089	491
58386031	492
153875670	493
262292817	494
18098819	495
54649894	496
12477052	497
58866657	498
89595069	499
35671638	500
14339520	501
75221587	502
15098639	503
101863069	504
239576675	505
18436433	506
257994974	507
103527653	508
191875463	509
14860195	510
139882332	511
15229127	512
155192639	513
64387245	514
62310536	515
26174646	516
19713521	517
209789811	518
16362662	519
29862576	520
21701128	521
8384912	522
15412816	523
19450841	524
155029302	525
19675857	526
180605438	527
105214847	528
208398817	529
14343949	530
16425627	531
15288377	532
14532450	533
62996416	534
14830831	535
52504599	536
25057202	537
23135992	538
3297651	539
107852396	540
15746214	541
126928559	542
119178303	543
92356909	544
13306282	545
135011198	546
182517897	547
14153491	548
47103930	549
98976495	550
34128302	551
262086880	552
16033434	553
804904	554
14342547	555
8294022	556
16044729	557
48469625	558
12088232	559
18540889	560
55979296	561
72605385	562
11412542	563
14638851	564
240878542	565
30857134	566
14330959	567
9286142	568
24756213	569
83434276	570
226532196	571
134009694	572
9561522	573
17228171	574
30298025	575
232083838	576
25163231	577
232834568	578
162959901	579
10781952	580
78000325	581
23549240	582
3028161	583
261894735	584
17225325	585
25904035	586
20592179	587
17471010	588
15308303	589
51466642	590
14349894	591
223757158	592
37396821	593
165814490	594
6258192	595
15959806	596
15040500	597
15067045	598
17753670	599
86549560	600
18791763	601
9431342	602
28462804	603
14128528	604
11632342	605
102780726	606
60698670	607
170270136	608
97551846	609
17512738	610
13315172	611
131713492	612
18630708	613
33327675	614
16135362	615
24975816	616
16069024	617
164453074	618
166394396	619
18944608	620
242131117	621
99536748	622
167084030	623
67775956	624
38976017	625
82363	626
63280540	627
38447355	628
110821538	629
824157	630
140176807	631
16023926	632
14888632	633
46670048	634
17371061	635
6962852	636
15991918	637
32182277	638
57133313	639
17451411	640
192589318	641
74622096	642
117196502	643
46164502	644
87484674	645
82411192	646
215989468	647
19572909	648
96980395	649
62584936	650
195488976	651
10654322	652
23789698	653
220419374	654
98128280	655
212248847	656
15978380	657
62614001	658
193674723	659
33247276	660
15076390	661
15001234	662
161700842	663
101631951	664
32503018	665
23992868	666
185124947	667
16124611	668
14216712	669
253888243	670
67862303	671
196273078	672
251744064	673
19641024	674
7434272	675
168426262	676
24420867	677
26418098	678
15046916	679
19841754	680
144921225	681
113787997	682
22660932	683
29529143	684
16418505	685
70461418	686
24811584	687
96815249	688
45004183	689
34244176	690
25478876	691
40448583	692
28377117	693
2825191	694
254629570	695
226995027	696
156768711	697
1585	698
138905522	699
17520649	700
163712424	701
54546622	702
163424898	703
14523408	704
193088908	705
12855572	706
38851140	707
239020684	708
19409508	709
17713959	710
108274516	711
7823692	712
782010	713
183101557	714
36944780	715
15354397	716
112478283	717
184630300	718
15487499	719
37546498	720
72135569	721
128811995	722
17410758	723
22289075	724
10928462	725
16201506	726
15780402	727
20813021	728
17385961	729
17945015	730
39749553	731
70937408	732
103576036	733
205066686	734
7595842	735
21729540	736
14085088	737
132109821	738
60654941	739
23130098	740
15441450	741
88388566	742
10730842	743
14326003	744
15230754	745
17206150	746
171519363	747
18121680	748
18385897	749
6389222	750
70190484	751
123971807	752
235439150	753
58751344	754
140663609	755
121117011	756
29911860	757
39657792	758
124670621	759
221509706	760
214659775	761
14870168	762
15364959	763
38109868	764
51482804	765
93328997	766
227159879	767
18621945	768
17008328	769
36008885	770
13979662	771
1979591	772
16273144	773
19977032	774
22526513	775
244937270	776
14550012	777
34405249	778
28371616	779
245314387	780
683113	781
17522884	782
15819292	783
14144238	784
110986584	785
15505550	786
11892722	787
15228091	788
45051485	789
118614880	790
22414207	791
14433007	792
107223604	793
11063312	794
14128901	795
14304739	796
124329490	797
16040887	798
43803902	799
241210475	800
23155646	801
34904126	802
16127669	803
90325437	804
20660925	805
70617438	806
22164330	807
108692077	808
13599852	809
176868644	810
138166083	811
72928626	812
13190282	813
254639896	814
19396560	815
37420083	816
37069994	817
18731529	818
21975447	819
17755042	820
144892029	821
255682362	822
131246223	823
216902526	824
245188974	825
18783265	826
121237632	827
15529625	828
19138755	829
16818880	830
13286312	831
25159698	832
12372812	833
202090023	834
245042640	835
256324516	836
8435452	837
6018562	838
15600217	839
40337245	840
233707083	841
5972752	842
241041897	843
31465017	844
15862839	845
18689581	846
14184628	847
57187028	848
133456536	849
161783675	850
100281735	851
17896640	852
10876852	853
231271588	854
180770812	855
44206517	856
222496666	857
14141301	858
56675544	859
156296440	860
156198826	861
44939343	862
102847829	863
193703862	864
13102262	865
49121564	866
241580495	867
13579842	868
217923038	869
19961801	870
162092045	871
70062275	872
156240003	873
41641562	874
32435460	875
14870804	876
116073715	877
16411898	878
124257319	879
143879476	880
18254895	881
69932023	882
26668603	883
156137116	884
100004821	885
92798123	886
120819229	887
77895702	888
163894281	889
14746460	890
59122298	891
243374286	892
180077597	893
18066875	894
153586491	895
86813802	896
208920761	897
110609337	898
13475382	899
16953	900
112760135	901
168730556	902
15632835	903
157122822	904
46037408	905
239191123	906
95288092	907
109671957	908
9248102	909
28115822	910
14335761	911
140591488	912
11148742	913
146655020	914
101106972	915
138860140	916
221452291	917
45045450	918
21113258	919
42469463	920
74285761	921
21153270	922
108811740	923
4554681	924
14437914	925
62509989	926
59683851	927
124473570	928
14820299	929
28609576	930
14178312	931
27944666	932
20610029	933
15215190	934
135033964	935
23560531	936
69187979	937
127188125	938
12294192	939
216605516	940
14890935	941
52788040	942
23257245	943
145350228	944
36380897	945
688483	946
75347004	947
241801946	948
38570998	949
207669798	950
124524462	951
49849110	952
19288077	953
21554226	954
14679080	955
71740672	956
71847229	957
17368610	958
50686513	959
163222098	960
255325506	961
23032476	962
77292631	963
27890540	964
13693042	965
23485622	966
15219854	967
70688431	968
177156570	969
261073782	970
14786110	971
9804222	972
104727907	973
133480857	974
50060799	975
45865465	976
24334049	977
28471924	978
14803061	979
7209262	980
15583292	981
176929534	982
18507464	983
14617878	984
16407837	985
232568677	986
18391075	987
36522491	988
184517281	989
222823225	990
244404903	991
15399951	992
28431983	993
33885025	994
14717311	995
119160384	996
23221629	997
124002957	998
14354144	999
26681722	1000
780991	1001
74202957	1002
14898632	1003
37832300	1004
152935567	1005
17037986	1006
238760716	1007
184876062	1008
4278151	1009
139788444	1010
142157110	1011
14255263	1012
223380929	1013
35321567	1014
227726723	1015
119980245	1016
21783716	1017
59913286	1018
15767281	1019
263312330	1020
102019594	1021
49115842	1022
17211751	1023
6904582	1024
1363481	1025
23154642	1026
189374598	1027
14280977	1028
15706633	1029
17435271	1030
7181572	1031
194608987	1032
14529013	1033
87534528	1034
193779018	1035
15975681	1036
101221067	1037
47785927	1038
16302855	1039
15050305	1040
23498775	1041
241472180	1042
16163790	1043
18086674	1044
32957473	1045
17301914	1046
58818905	1047
172592448	1048
15724452	1049
140255945	1050
15936194	1051
14753540	1052
63531207	1053
58561993	1054
17071737	1055
20472901	1056
243914859	1057
126717954	1058
14624115	1059
82567107	1060
151136998	1061
95740429	1062
147787042	1063
21069098	1064
1688	1065
40779851	1066
15295785	1067
347133	1068
21653513	1069
84045446	1070
16169898	1071
21546828	1072
18822866	1073
28230825	1074
56660747	1075
222444337	1076
23484051	1077
219265469	1078
129360573	1079
198911524	1080
133279867	1081
16032700	1082
123892070	1083
51982828	1084
131177653	1085
180703009	1086
90932230	1087
245816373	1088
235633896	1089
47661343	1090
19751635	1091
54709948	1092
26419482	1093
254184021	1094
36713201	1095
107232730	1096
15905565	1097
90195278	1098
147342909	1099
129319803	1100
14943818	1101
129176641	1102
39341556	1103
19006260	1104
39774991	1105
84269742	1106
25316662	1107
17246888	1108
92876427	1109
23958589	1110
259493072	1111
19993686	1112
82977544	1113
62415418	1114
104357325	1115
16680654	1116
185158668	1117
231472142	1118
20778703	1119
92117844	1120
199746127	1121
74026628	1122
14100617	1123
72218449	1124
31213504	1125
86528620	1126
250532240	1127
17528356	1128
174649888	1129
15866023	1130
82109274	1131
7277852	1132
56712219	1133
25736364	1134
16013349	1135
224428671	1136
107639543	1137
16615594	1138
9135	1139
272566820	1140
108679657	1141
191964962	1142
121644896	1143
17083396	1144
40907388	1145
89492277	1146
15845496	1147
184221744	1148
133923294	1149
231991793	1150
16948493	1151
7737642	1152
136004374	1153
631803	1154
239190317	1155
28009658	1156
169245808	1157
63314023	1158
38087508	1159
232451257	1160
258039690	1161
179422421	1162
89595535	1163
252105891	1164
57888537	1165
14919201	1166
29965112	1167
42315951	1168
44150150	1169
184886029	1170
15113155	1171
36368888	1172
14820724	1173
39439728	1174
5660312	1175
260505934	1176
47613125	1177
11413752	1178
220020817	1179
23593213	1180
790000	1181
34686024	1182
209150087	1183
30404850	1184
12566662	1185
16847211	1186
29005683	1187
193834897	1188
14990031	1189
16200143	1190
18967578	1191
16426698	1192
89929074	1193
53040017	1194
2150541	1195
17495194	1196
17010854	1197
6753242	1198
14389615	1199
42300159	1200
41597013	1201
68456925	1202
21318183	1203
59698845	1204
15514266	1205
39176418	1206
110921163	1207
21770568	1208
134352532	1209
56882778	1210
73710819	1211
17074240	1212
128882329	1213
17074244	1214
53175809	1215
183626732	1216
216529788	1217
18398385	1218
14848179	1219
8085432	1220
252782082	1221
9011012	1222
181120728	1223
17948379	1224
221650526	1225
24006057	1226
266202805	1227
192968187	1228
62635353	1229
244931754	1230
134841238	1231
42465046	1232
17278906	1233
51695698	1234
23714675	1235
18705078	1236
88321965	1237
22387220	1238
17279500	1239
14451294	1240
203890384	1241
14327792	1242
266296850	1243
39657206	1244
220578999	1245
14213692	1246
16156302	1247
25874451	1248
35267268	1249
64847676	1250
26001722	1251
188202145	1252
44693348	1253
54213842	1254
208766236	1255
42231175	1256
70632952	1257
108417469	1258
203508691	1259
5489202	1260
17066838	1261
128996296	1262
103976896	1263
24661289	1264
15025059	1265
197948154	1266
72826714	1267
256291383	1268
74250663	1269
59355478	1270
18920390	1271
16438743	1272
23219980	1273
27503151	1274
87615535	1275
15284607	1276
17519222	1277
208064567	1278
212006174	1279
15342619	1280
262226916	1281
17280132	1282
13348	1283
233948859	1284
186118905	1285
191663507	1286
21746170	1287
226822549	1288
17005197	1289
16956236	1290
28504545	1291
17134865	1292
18773339	1293
14212028	1294
15953031	1295
5385262	1296
22042403	1297
259394715	1298
44147853	1299
26618577	1300
15602091	1301
139628316	1302
89708408	1303
14076943	1304
116065011	1305
153483319	1306
18098655	1307
123940928	1308
114950933	1309
17375079	1310
13678292	1311
233257736	1312
14680167	1313
15040446	1314
10410632	1315
16521150	1316
144712717	1317
2606911	1318
59541290	1319
62509229	1320
20096335	1321
31334049	1322
60650519	1323
245634968	1324
10284192	1325
19399298	1326
53294779	1327
22992850	1328
96477730	1329
8615772	1330
48320268	1331
22360594	1332
84097256	1333
8476602	1334
198699773	1335
128126290	1336
155311735	1337
13884782	1338
14471522	1339
13107602	1340
16624180	1341
7614052	1342
104332218	1343
36912323	1344
811182	1345
18239795	1346
180160839	1347
40268283	1348
120735491	1349
11202562	1350
185152562	1351
97051433	1352
110320464	1353
227192133	1354
254221946	1355
90837985	1356
35195343	1357
18106809	1358
54588187	1359
141571223	1360
32992448	1361
18356346	1362
14427431	1363
15233366	1364
11698322	1365
166707502	1366
42934309	1367
229674969	1368
12536272	1369
216952758	1370
14200437	1371
8496612	1372
51294632	1373
44388527	1374
15946540	1375
239221322	1376
34074792	1377
38202628	1378
12337592	1379
20764205	1380
109604578	1381
245167786	1382
181301357	1383
155962937	1384
46054692	1385
20945245	1386
18173465	1387
15455358	1388
22046753	1389
106413293	1390
16951971	1391
33870680	1392
14380889	1393
14065215	1394
34826262	1395
29206300	1396
14516697	1397
121223001	1398
63614805	1399
21957689	1400
33492243	1401
106414572	1402
270029137	1403
188185864	1404
38194761	1405
17237906	1406
162140481	1407
132250957	1408
32615340	1409
14277276	1410
31536253	1411
56377143	1412
16856926	1413
15476915	1414
128040590	1415
19404944	1416
5764432	1417
22790425	1418
274197373	1419
683523	1420
17796440	1421
34010454	1422
92102625	1423
193689467	1424
14079590	1425
235319539	1426
138111295	1427
109596525	1428
154776946	1429
195165128	1430
87719730	1431
14628090	1432
16809329	1433
16888514	1434
188574103	1435
18064263	1436
14238738	1437
14945059	1438
17366090	1439
208677720	1440
154105545	1441
75719992	1442
28674090	1443
61496860	1444
69124203	1445
18530171	1446
172143827	1447
19624059	1448
5998552	1449
42197349	1450
19471181	1451
239188819	1452
9147742	1453
92513185	1454
231998027	1455
171995715	1456
149815436	1457
102542634	1458
15510638	1459
243220807	1460
168710679	1461
19022242	1462
7090482	1463
15214601	1464
142447390	1465
269218298	1466
17871826	1467
114762261	1468
24553362	1469
25059097	1470
456	1471
15551294	1472
91148885	1473
141499502	1474
14573861	1475
200903027	1476
44817367	1477
19083865	1478
196102552	1479
132394928	1480
14947289	1481
83719783	1482
23998156	1483
165418860	1484
25904132	1485
74003363	1486
84697403	1487
50387743	1488
815233	1489
7210762	1490
15294706	1491
173938646	1492
41188469	1493
110178946	1494
251718913	1495
14260608	1496
162029292	1497
63463335	1498
10268302	1499
19656274	1500
27969192	1501
14634197	1502
15634516	1503
16857066	1504
5798602	1505
91462853	1506
176687793	1507
35656602	1508
15013580	1509
38793729	1510
9819862	1511
117147872	1512
198560132	1513
118102391	1514
68480226	1515
6065942	1516
109150601	1517
46360075	1518
108803911	1519
254092296	1520
80449471	1521
124203804	1522
148425035	1523
41296367	1524
261708017	1525
39821643	1526
20307019	1527
58454165	1528
174319881	1529
199015109	1530
15662467	1531
18829156	1532
159503258	1533
19673977	1534
132977590	1535
17695465	1536
38610291	1537
94397566	1538
107025267	1539
35476723	1540
