vertex: modules
0: 0 4
1: 2 5
2: 11 12
3: 19 3
4: 11 14
5: 8 18
6: 24 27
7: 18 28
8: 8 1
9: 24 7
10: 8 23
11: 4 23
12: 26 15
13: 17 25
14: 14 15
15: 8 17
16: 1 21
17: 16 28
18: 17 6
19: 18 22
20: 25 6
21: 2 27
22: 0 11
23: 17 11
24: 18
25: 27 28
26: 20 21
27: 1 18
28: 13 22
29: 19 29
30: 8
31: 9 2
32: 1 9
33: 1 10
34: 10 12
35: 1 11
36: 11 29
37: 1 28
38: 17 12
39: 24 15
40: 2 4
41: 25 29
42: 25 27
43: 29 15
44: 18 11
45: 22 6
46: 11 14
47: 21 14
48: 26 11
49: 16 17
50: 24 25
51: 1 27
52: 10 3
53: 3 21
54: 17 29
55: 25 12
56: 14 7
57: 8 22
58: 11 22
59: 5 29
60: 9 22
61: 20 22
62: 25 3
63: 18 21
64: 8 28
65: 29 22
66: 0 28
67: 25 11
68: 10 11
69: 5
70: 12 15
71: 19 11
72: 4 14
73: 5 21
74: 12 14
75: 4 13
76: 17 18
77: 25 26
78: 29 7
79: 11 15
80: 0 26
81: 8 25
82: 18 5
83: 26 23
84: 20 6
85: 16 21
86: 24 23
87: 5 21
88: 9 18
89: 26 27
90: 3
91: 4 14
92: 24 3
93: 26 12
94: 4 21
95: 25 12
96: 26 11
97: 25 19
98: 18 29
99: 2 23
100: 28 23
101: 27 15
102: 27 20
103: 13 14
104: 26 3
105: 29 7
106: 0 20
107: 9 5
108: 4 14
109: 9 27
110: 24 12
111: 24 20
112: 3 14
113: 25 23
114: 24 4
115: 20 14
116: 28 20
117: 22 23
118: 12 15
119: 27 15
120: 25 6
121: 27 22
122: 19 23
123: 3 13
124: 0 21
125: 8 5
126: 25 3
127: 19 21
128: 1 3
129: 0 14
130: 26 23
131: 18 3
132: 14 15
133: 3 27
134: 3 19
135: 6 15
136: 27 29
137: 10 19
138: 26 2
139: 0 14
140: 24 4
141: 11 12
142: 25 6
143: 13 15
144: 2 19
145: 20 21
146: 10 15
147: 10 5
148: 28 14
149: 10 11
150: 0 2
151: 17 15
152: 19 14
153: 3 13
154: 2 22
155: 19 3
156: 25 20
157: 8 19
158: 26 29
159: 16 6
160: 10 6
161: 26 28
162: 4 6
163: 0 9
164: 0 20
165: 0 27
166: 12 23
167: 18 10
168: 8 29
169: 8 3
170: 0 18
171: 9 27
172: 8 9
173: 26
174: 12 6
175: 27 29
176: 24 25
177: 9 11
178: 0 26
179: 9 6
180: 16 23
181: 18 14
182: 11 22
183: 25 27
184: 24 9
185: 0 10
186: 12
187: 27 12
188: 2 3
189: 24 19
190: 9 26
191: 3 23
192: 22 7
193: 20 23
194: 1 11
195: 3 5
196: 17 5
197: 19 4
198: 13 14
199: 22 23
200: 21 13
201: 2 23
202: 2 14
203: 9 6
204: 18 4
205: 17 5
206: 9 7
207: 21 6
208: 16 9
209: 25 5
210: 17 2
211: 26 29
212: 24 11
213: 11 4
214: 2 4
215: 25 11
216: 28 15
217: 1 25
218: 2 4
219: 26 12
220: 1 22
221: 10 28
222: 4 13
223: 25 22
224: 19 12
225: 17 3
226: 29 7
227: 2 21
228: 9 18
229: 28
230: 23 7
231: 14 7
232: 21 15
233: 19 12
234: 10 2
235: 1 3
236: 10 23
237: 2 21
238: 25 12
239: 10 4
240: 8 2
241: 28 20
242: 27 29
243: 10 6
244: 28
245: 3 5
246: 19 14
247: 10 28
248: 20 13
249: 24 17
250: 25 18
251: 3 4
252: 12 5
253: 24 22
254: 8 15
255: 24 1
256: 23 15
257: 26 23
258: 26 6
259: 2 21
260: 1 20
261: 9 18
262: 9 28
263: 24 29
264: 27 21
265: 1 7
266: 28 4
267: 9 13
268: 24 23
269: 8 25
270: 25 15
271: 25 22
272: 24 28
273: 10 21
274: 19 27
275: 26 20
276: 21 15
277: 3 6
278: 2 4
279: 10 20
280: 3 23
281: 17 26
282: 18 23
283: 9 3
284: 10 5
285: 11 23
286: 28 23
287: 20 14
288: 10 4
289: 27 5
290: 1 4
291: 26 14
292: 9 22
293: 9 18
294: 19 14
295: 2 11
296: 24
297: 2 19
298: 0 18
299: 8 20
300: 8 2
301: 20 4
302: 10 7
303: 2 28
304: 25 1
305: 3 29
306: 9 11
307: 8 25
308: 3 15
309: 17 2
310: 16 25
311: 11 4
312: 20 6
313: 13 15
314: 26 5
315: 20 23
316: 15 7
317: 18 6
318: 11 6
319: 16 3
320: 25 12
321: 2 7
322: 25 1
323: 4 21
324: 19 12
325: 10 5
326: 16 7
327: 12 23
328: 29 14
329: 24 15
330: 7
331: 3 23
332: 24 5
333: 21 6
334: 27 28
335: 27 20
336: 5 13
337: 12 6
338: 3 23
339: 21 23
340: 1 2
341: 18 7
342: 18 22
343: 17 26
344: 9 28
345: 11 14
346: 3 7
347: 18
348: 29 14
349: 17
350: 26 29
351: 22 7
352: 8 10
353: 12 23
354: 3 4
355: 0 22
356: 11 21
357: 10 28
358: 18 22
359: 27 5
360: 2 15
361: 0 13
362: 1 2
363: 12 15
364: 10 6
365: 2 7
366: 29 14
367: 20 13
368: 26 5
369: 2 20
370: 6 23
371: 8 29
372: 26 21
373: 3 4
374: 24 11
375: 9 5
376: 22 14
377: 8 15
378: 1 6
379: 17 27
380: 26 12
381: 16 15
382: 10 14
383: 9 19
384: 0 6
385: 12 14
386: 3 13
387: 0 13
388: 24 11
389: 0 13
390: 24 6
391: 24 7
392: 10 23
393: 16 21
394: 18 15
395: 1 7
396: 20 21
397: 29 15
398: 4 15
399: 8 23
400: 26 20
401: 24 4
402: 6 15
403: 19 12
404: 24 17
405: 18 13
406: 1 27
407: 0 21
408: 2 27
409: 14 22
410: 20 12
411: 17 22
412: 24 11
413: 16 23
414: 25 2
415: 28 13
416: 17 20
417: 16 23
418: 0 8
419: 0 4
420: 16 11
421: 16 3
422: 24 26
423: 9
424: 29 14
425: 26 20
426: 24 28
427: 8 17
428: 2 3
429: 5
430: 9 7
431: 2 20
432: 8
433: 14 23
434: 25 17
435: 17 21
436: 8 27
437: 11 21
438: 9 5
439: 11 29
440: 27 28
441: 8 25
442: 27 13
443: 26 12
444: 3 13
445: 9 6
446: 26 29
447: 25 9
448: 3 15
449: 28 29
450: 26 11
451: 6 23
452: 25 19
453: 3 4
454: 17 27
455: 2 21
456: 1 3
457: 27 13
458: 18 23
459: 9 26
460: 22 23
461: 4 13
462: 12 5
463: 10 28
464: 19 28
465: 24 18
466: 20 21
467: 26 6
468: 11 22
469: 17 7
470: 16 5
471: 8 11
472: 12 21
473: 18 3
474: 17 26
475: 1 17
476: 16 21
477: 0 11
478: 10 15
479: 12 21
480: 0 2
481: 18 21
482: 17 18
483: 9 1
484: 2 5
485: 26 18
486: 25 14
487: 17 13
488: 24 0
489: 9 23
490: 5 15
491: 2 21
492: 9 14
493: 25 9
494: 8 19
495: 17 13
496: 8 9
497: 24 2
498: 26 23
499: 18 28
500: 12 29
501: 25 14
502: 28 13
503: 3 7
504: 0
505: 16 9
506: 0 19
507: 8 18
508: 8 1
509: 13
510: 9 27
511: 19 13
512: 3 28
513: 17 21
514: 28 14
515: 17 2
516: 17 23
517: 0 23
518: 19 28
519: 17 27
520: 9 26
521: 11 7
522: 25 12
523: 24 23
524: 16 12
525: 20 22
526: 8
527: 19 3
528: 10 11
529: 24 26
530: 25 12
531: 19 12
532: 29 22
533: 0 6
534: 8 12
535: 16 13
536: 24 8
537: 1 27
538: 2 20
539: 18 6
540: 4 6
541: 18 20
542: 10 28
543: 0 4
544: 14 15
545: 10 29
546: 21 6
547: 27 6
548: 18 19
549: 9 13
550: 25 6
551: 1 20
552: 8 12
553: 8 7
554: 27
555: 25 5
556: 3 22
557: 5 13
558: 12 13
559: 1 4
560: 2 12
561: 16 17
562: 14 7
563: 4 13
564: 17 23
565: 27 19
566: 28 5
567: 3 21
568: 4 14
569: 0 2
570: 9 21
571: 16 18
572: 3 5
573: 17 13
574: 18 15
575: 28 4
576: 1 27
577: 2 13
578: 2 22
579: 17 27
580: 1 26
581: 24 11
582: 16 26
